id,created_at,provider_name,sku_provider,raw_title,price,currency,metadata,status,normalized_product_id
1178,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1995,Inverter V32 1.5 Ton Frío - Calor 220,9595.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1995-inverter-v32-15-ton-frio-calor-220.html"",""last_error"":null,""scraped_at"":1766775478.9573288,""internal_id"":""1995"",""category_original"":""Aire Acondicionado""}",processed,d5c6b23e-61b3-436e-b93b-b3b5b685ec94
1179,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCVF121E,Minisplit Inverter V32 220v Mirage 1 Tonelada 12000 Btu R32,5399.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775508.308389}",processed,14df880e-aff5-41b7-a34e-c2d8249d085e
1180,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMC121J,Minisplit Inverter X Frio y Calor 220v Mirage 1 Tonelada 12000 Btu R32,6399.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-v32-220v-mirage-1-tonelada-12000-btu-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775509.3146322}",processed,85de5953-4582-45bd-8b3b-326e3b6755bd
1181,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMC121J,Minisplit Inverter X Frio y Calor 220v Mirage 1 Tonelada 12000 Btu R32,6399.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-v32-110v-mirage-1-tonelada-12000-btu-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775510.1004472}",processed,85de5953-4582-45bd-8b3b-326e3b6755bd
1182,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMC121V,Minisplit Inverter 220v Frio Calor Mirage 1 Ton Magnum 22 Se,10629.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-v32-frio-calor-110v-mirage-1-tonelada-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775511.3729079}",processed,4bc34009-b0d9-4c1e-83c3-012e6f380bed
1183,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWF261E,Minisplit Inverter X32 220v Mirage 2 Toneladas 24000 Btu R32,11499.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x32-220v-mirage-1-tonelada-12000-btu-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775512.5636656}",processed,295b6eff-f545-465b-b06c-c615a444bb6b
1184,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWC361C,Minisplit Inverter 220v Mirage 3 Toneladas Frio Calor Inv17,22999.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-110v-mirage-1-tonelada-12b-magnum-22-seer/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775513.5905}",processed,897d32d8-c7b7-4893-b4b5-3d07e26c0039
1185,2025-12-26 18:59:18.685003+00,Aires Aurum,MACC0511N,Aire Acondicionado Ventana Mirage 110v 5000 Btu 1/2 Tonelada,3399.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/aire-minisplit-110v-mirage-1-toneladas-12-000-bt-nex/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775514.8820956}",processed,5116cbea-36be-4548-b030-5464ca0bb26c
1186,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMC121J,Minisplit Inverter X Frio y Calor 220v Mirage 1 Tonelada 12000 Btu R32,6399.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x32-220v-mirage-2-toneladas-24000-btu-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775515.7763062}",processed,85de5953-4582-45bd-8b3b-326e3b6755bd
1187,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMF181V,Minisplit Inverter 220v Mirage 1.5 Tonelada 18 Btu Magnum 22,11799.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-v32-frio-calor-220v-mirage-1-5-toneladas/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775516.9991024}",processed,347139b9-911e-45fb-a9a4-a7b6edd39c90
