sku,precio,proveedor,sku_original,url,scraped_at,raw_id
EQ-MSI-1T220-005,5999.0,Aires Aurum,SETCMF121J,https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-1-tonelada-12b-magnum-22-seer/,2025-12-26 18:59:18.685003+00,1199
EQ-MSI-1T110-001,6199.0,Aires Aurum,SETCMF120J,https://airesaurum.com.mx/productos/minisplit-inverter-x32-220v-mirage-1-5-toneladas-18000-b-r321/,2025-12-26 18:59:18.685003+00,1200
EQ-MSI-15T220-006,9499.0,Aires Aurum,SETCWC181E,https://airesaurum.com.mx/productos/minisplit-inverter-x-110v-mirage-1-tonelada-12-btu-r32-frio/,2025-12-26 18:59:18.685003+00,1201
EQ-MSO-1T220-005,4999.0,Aires Aurum,SETCLF121H,https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-tonelada-12000-btu-nex-2025/,2025-12-26 18:59:18.685003+00,1202
EQ-MSI-1T110-001,6199.0,Aires Aurum,SETCMF120J,https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-5-toneladas-18000-btu-nex-frio/,2025-12-26 18:59:18.685003+00,1203
EQ-MSI-15T220-006,8599.0,Aires Aurum,SETCWF181E,https://airesaurum.com.mx/productos/minisplit-inverter-x32-frio-calor-220v-mirage-1-5-toneladas/,2025-12-26 18:59:18.685003+00,1204
EQ-MSI-1T220-005,5999.0,Aires Aurum,SETCMF121J,https://airesaurum.com.mx/productos/minisplit-inverter-v32-frio-calor-220v-mirage-2-toneladas1/,2025-12-26 18:59:18.685003+00,1205
EQ-VEN-15T220-001,7799.0,Aires Aurum,MACC1821N,https://airesaurum.com.mx/productos/mirage-xlife-1-1-2-tons/,2025-12-26 18:59:18.685003+00,1206
EQ-MSI-1T220-003,5799.0,Aires Aurum,SETCWF121E,https://airesaurum.com.mx/productos/minisplit-inverter-x32-110v-mirage-1-tonelada-12000-btu-r32/,2025-12-26 18:59:18.685003+00,1207
EQ-MSI-15T220-006,8599.0,Aires Aurum,SETCWF181E,https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-1-5-tonelada-18-btu-magnum-22/,2025-12-26 18:59:18.685003+00,1208
EQ-VEN-075T110-001,4299.0,Aires Aurum,MACC0811N,https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-5-toneladas-18000-btu-life-12/,2025-12-26 18:59:18.685003+00,1209
EQ-POR-MIR-003,9499.0,Aires Aurum,MAPS1411H,https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-tonelada-12000-btu-x-life/,2025-12-26 18:59:18.685003+00,1210
EQ-MSI-1T110-003,6199.0,Aires Aurum,SETCVC120E,https://airesaurum.com.mx/productos/aire-clima-portatil-110v-1-ton-frio-calor-14-000-btu-mirage/,2025-12-26 18:59:18.685003+00,1211
EQ-MSI-2T220-001,18499.0,Aires Aurum,SETCMF261J,https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-frio-calor-2-toneladas-24000-btu-magnum-22/,2025-12-26 18:59:18.685003+00,1212
EQ-MSO-1T220-005,5199.0,Aires Aurum,SETCLC121H,https://airesaurum.com.mx/productos/aire-minisplit-220v-frio-calor-mirage-1-5-toneladas-18k-nex/,2025-12-26 18:59:18.685003+00,1213
EQ-MSI-15T220-006,9499.0,Aires Aurum,SETCWC181E,https://airesaurum.com.mx/productos/aire-minisplit-frio-calor-220v-mirage-1-5-tonelada-life-12/,2025-12-26 18:59:18.685003+00,1214
EQ-MSO-15T220-003,7799.0,Aires Aurum,SETCHC181T,https://airesaurum.com.mx/productos/aire-minisplit-220v-frio-calor-mirage-2-toneladas-r410-nex/,2025-12-26 18:59:18.685003+00,1215
EQ-VEN-075T110-001,4299.0,Aires Aurum,MACC0811N,https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-tonelada-12000-btu-life-12/,2025-12-26 18:59:18.685003+00,1216
EQ-MSI-1T110-001,6199.0,Aires Aurum,SETCMF120J,https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-3-ton-magnum-18-frio-calor/,2025-12-26 18:59:18.685003+00,1217
EQ-POR-MIR-003,9499.0,Aires Aurum,MAPS1411H,https://airesaurum.com.mx/productos/aire-minisplit-110v-mirage-1-tonelada-12000-btu-life-12/,2025-12-26 18:59:18.685003+00,1218
EQ-MSI-1T110-003,6399.0,Aires Aurum,SETCWC120E,https://airesaurum.com.mx/productos/minisplit-inverter-220v-frio-calor-mirage-1-ton-magnum-22-se/,2025-12-26 18:59:18.685003+00,1219
EQ-MSI-3T220-001,22999.0,Aires Aurum,SETCWC361C,https://airesaurum.com.mx/productos/minisplit-inverter-x-frio-y-calor-220v-mirage-1-tonelada-12000-btu-r32/,2025-12-26 18:59:18.685003+00,1220
EQ-MSO-1T220-005,4999.0,Aires Aurum,SETCLF121H,https://airesaurum.com.mx/productos/aire-acondicionado-ventana-mirage-110v-8000-btu-3-4-tonelada/,2025-12-26 18:59:18.685003+00,1221
EQ-MSO-2T220-004,9499.0,Aires Aurum,SETCHF261T,https://airesaurum.com.mx/productos/aire-acondicionado-ventana-mirage-110v-5000-btu-1-2-tonelada/,2025-12-26 18:59:18.685003+00,1222
